book_id,title,author,isbn,subject_area,genre,mood,tags,summary,publication_year,edition,language,page_count,rating
11,Delhi: A Novel,Khushwant Singh,9780255337618,Fiction/Stories,Historical Fiction,Dark,historical fiction;fiction;novel;leisure-reading;story;history,"A memorable entry in historical fiction, the story follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of historical fiction, ""Delhi: A Novel"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1990,Popular Edition,English,602,3.5
12,The Shadow Lines,Amitav Ghosh,9789393205278,Fiction/Stories,Literary Fiction,Mysterious | Inspirational | Historical,literary fiction;fiction;novel;leisure-reading;story,"Spanning years and relationships, this literary fiction traces a central figure caught between duty and desire. Written in the tradition of literary fiction, ""The Shadow Lines"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1988,Paperback Edition,English,168,3.4
13,Sea of Poppies,Amitav Ghosh,9780371831687,Fiction/Stories,Historical Fiction,Educational | Dark,historical fiction;fiction;novel;leisure-reading;story;history,"This historical fiction follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of historical fiction, ""Sea of Poppies"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",2008,Popular Edition,English,602,3.7
14,The Hungry Tide,Amitav Ghosh,9789381513989,Fiction/Stories,Literary Fiction,Thrilling | Funny | Mysterious,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a journey that tests conviction as much as courage. Written in the tradition of literary fiction, ""The Hungry Tide"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2004,Special Edition,English,279,3.7
15,The Guide,R.K. Narayan,9789312863237,Fiction/Stories,Literary Fiction,Adventure,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows individuals confronting change in a world that refuses to stay still. Written in the tradition of literary fiction, ""The Guide"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1958,Paperback Edition,English,213,4.1
16,Malgudi Days,R.K. Narayan,9780958452526,Fiction/Stories,Short Stories,Fantasy | Mysterious | Magical,short stories;fiction;novel;leisure-reading;story,"This short stories follows individuals confronting change in a world that refuses to stay still. Written in the tradition of short stories, ""Malgudi Days"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",1943,Paperback Edition,English,301,4.3
17,Swami and Friends,R.K. Narayan,9780425389546,Fiction/Stories,Literary Fiction,Relaxing,literary fiction;fiction;novel;leisure-reading;story,"In prose that lingers, R.K. Narayan follows individuals confronting change in a world that refuses to stay still. Written in the tradition of literary fiction, ""Swami and Friends"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1935,1st Edition,English,195,4.7
18,The English Teacher,R.K. Narayan,9780402333371,Fiction/Stories,Literary Fiction,Magical,literary fiction;fiction;novel;leisure-reading;story,"In prose that lingers, R.K. Narayan follows a central figure caught between duty and desire. Written in the tradition of literary fiction, ""The English Teacher"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",1945,Paperback Edition,English,122,4.8
19,Kanthapura,Raja Rao,9780740761140,Fiction/Stories,Literary Fiction,Fantasy | Magical,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows a central figure caught between duty and desire. Written in the tradition of literary fiction, ""Kanthapura"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",1938,Popular Edition,English,469,3.6
20,Untouchable,Mulk Raj Anand,9780727918567,Fiction/Stories,Literary Fiction,Relaxing | Adventure | Funny,literary fiction;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this literary fiction follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of literary fiction, ""Untouchable"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1935,Popular Edition,English,426,4.8
21,Coolie,Mulk Raj Anand,9780431328218,Fiction/Stories,Literary Fiction,Epic,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of literary fiction, ""Coolie"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",1936,Popular Edition,English,144,4.1
22,The White Tiger,Aravind Adiga,9780813107356,Fiction/Stories,Literary Fiction,Educational,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of literary fiction, ""The White Tiger"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2008,Popular Edition,English,541,4.7
23,Last Man in Tower,Aravind Adiga,9780353715530,Fiction/Stories,Literary Fiction,Fast-paced,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a central figure caught between duty and desire. Written in the tradition of literary fiction, ""Last Man in Tower"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",2011,Special Edition,English,235,4.0
24,Selection Day,Aravind Adiga,9780053933760,Fiction/Stories,Literary Fiction,Fantasy | Romantic,literary fiction;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this literary fiction follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of literary fiction, ""Selection Day"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",2016,Paperback Edition,English,506,4.0
25,Sacred Games,Vikram Chandra,9781087194486,Fiction/Stories,Crime Fiction,Thought-provoking,crime fiction;fiction;novel;leisure-reading;story;suspense,"Set against a richly drawn backdrop, this crime fiction follows a central figure caught between duty and desire. Written in the tradition of crime fiction, ""Sacred Games"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2006,Paperback Edition,English,548,4.0
26,Red Earth and Pouring Rain,Vikram Chandra,9789363164697,Fiction/Stories,Literary Fiction,Suspenseful | Dark,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of literary fiction, ""Red Earth and Pouring Rain"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1995,Popular Edition,English,612,4.1
27,The Palace of Illusions,Chitra Banerjee Divakaruni,9789316201097,Fiction/Stories,Mythological Fiction,Mysterious,mythological fiction;fiction;novel;leisure-reading;story;indian-mythology,"Set against a richly drawn backdrop, this mythological fiction follows a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of mythological fiction, ""The Palace of Illusions"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",2008,Popular Edition,English,209,3.4
28,Sister of My Heart,Chitra Banerjee Divakaruni,9781888882827,Fiction/Stories,Literary Fiction,Romantic,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows a central figure caught between duty and desire. Written in the tradition of literary fiction, ""Sister of My Heart"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1999,Reprint Edition,English,530,3.9
29,The Mistress of Spices,Chitra Banerjee Divakaruni,9789376153824,Fiction/Stories,Magical Realism,Mysterious | Educational | Emotional,magical realism;fiction;novel;leisure-reading;story,"In prose that lingers, Chitra Banerjee Divakaruni follows a journey that tests conviction as much as courage. Written in the tradition of magical realism, ""The Mistress of Spices"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1997,Popular Edition,English,323,4.7
30,One Amazing Thing,Chitra Banerjee Divakaruni,9780329269456,Fiction/Stories,Literary Fiction,Educational | Inspirational | Suspenseful,literary fiction;fiction;novel;leisure-reading;story,"This literary fiction follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of literary fiction, ""One Amazing Thing"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",2010,Reprint Edition,English,146,3.6
31,The Great Indian Novel,Shashi Tharoor,9781183971868,Fiction/Stories,Satire,Heartwarming | Funny,satire;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this satire follows individuals confronting change in a world that refuses to stay still. Written in the tradition of satire, ""The Great Indian Novel"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",1989,Popular Edition,English,457,4.1
32,Riot,Shashi Tharoor,9780145736583,Fiction/Stories,Literary Fiction,Educational | Epic | Thought-provoking,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of literary fiction, ""Riot"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2001,Reprint Edition,English,273,3.6
33,Show Business,Shashi Tharoor,9781350465428,Fiction/Stories,Satire,Thrilling | Mysterious,satire;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of satire, ""Show Business"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",1991,Reprint Edition,English,563,4.5
34,A River Sutra,Gita Mehta,9789302446099,Fiction/Stories,Literary Fiction,Romantic,literary fiction;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this literary fiction follows a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of literary fiction, ""A River Sutra"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1993,1st Edition,English,426,3.7
35,Raj,Gita Mehta,9780781755504,Fiction/Stories,Historical Fiction,Dark,historical fiction;fiction;novel;leisure-reading;story;history,"Spanning years and relationships, this historical fiction traces individuals confronting change in a world that refuses to stay still. Written in the tradition of historical fiction, ""Raj"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",1989,Reprint Edition,English,320,4.4
36,Clear Light of Day,Anita Desai,9780612245600,Fiction/Stories,Literary Fiction,Thrilling | Relaxing,literary fiction;fiction;novel;leisure-reading;story,"This literary fiction follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of literary fiction, ""Clear Light of Day"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",1980,1st Edition,English,543,3.7
37,"Fasting, Feasting",Anita Desai,9781380049131,Fiction/Stories,Literary Fiction,Inspirational,literary fiction;fiction;novel;leisure-reading;story,"This literary fiction follows a central figure caught between duty and desire. Written in the tradition of literary fiction, ""Fasting, Feasting"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",1999,1st Edition,English,374,4.4
38,In Custody,Anita Desai,9781357991401,Fiction/Stories,Literary Fiction,Calm | Educational,literary fiction;fiction;novel;leisure-reading;story,"In prose that lingers, Anita Desai follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of literary fiction, ""In Custody"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",1984,Special Edition,English,144,3.9
39,"Cry, the Peacock",Anita Desai,9781664808850,Fiction/Stories,Literary Fiction,Educational | Historical,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of literary fiction, ""Cry, the Peacock"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",1963,1st Edition,English,180,3.9
40,Fire on the Mountain,Anita Desai,9781043218027,Fiction/Stories,Literary Fiction,Funny | Inspirational | Relaxing,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a journey that tests conviction as much as courage. Written in the tradition of literary fiction, ""Fire on the Mountain"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",1977,Paperback Edition,English,438,3.8
41,The Village by the Sea,Anita Desai,9780373895090,Fiction/Stories,Literary Fiction,Dark | Historical | Epic,literary fiction;fiction;novel;leisure-reading;story,"Spanning years and relationships, this literary fiction traces a central figure caught between duty and desire. Written in the tradition of literary fiction, ""The Village by the Sea"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",1982,Popular Edition,English,306,3.5
42,Custody,Manju Kapur,9780293731096,Fiction/Stories,Literary Fiction,Historical,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of literary fiction, ""Custody"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",2011,Reprint Edition,English,307,4.0
43,Difficult Daughters,Manju Kapur,9789354582080,Fiction/Stories,Literary Fiction,Adventure | Thrilling | Funny,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a central figure caught between duty and desire. Written in the tradition of literary fiction, ""Difficult Daughters"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",1998,Special Edition,English,560,4.0
44,Home,Manju Kapur,9789381568583,Fiction/Stories,Literary Fiction,Educational | Inspirational | Heartwarming,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of literary fiction, ""Home"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",2006,1st Edition,English,512,3.7
45,A Married Woman,Manju Kapur,9780474372803,Fiction/Stories,Literary Fiction,Inspirational | Suspenseful | Historical,literary fiction;fiction;novel;leisure-reading;story,"This literary fiction follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of literary fiction, ""A Married Woman"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2002,Reprint Edition,English,549,3.7
46,The Zoya Factor,Anuja Chauhan,9789312602997,Fiction/Stories,Romantic Comedy,Emotional | Adventure,romantic comedy;fiction;novel;leisure-reading;story;romance,"Set against a richly drawn backdrop, this romantic comedy follows a central figure caught between duty and desire. Written in the tradition of romantic comedy, ""The Zoya Factor"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",2008,Paperback Edition,English,369,4.3
47,Battle for Bittora,Anuja Chauhan,9789328554259,Fiction/Stories,Romantic Comedy,Epic | Suspenseful | Calm,romantic comedy;fiction;novel;leisure-reading;story;romance,"Told with a distinct narrative voice, this novel follows individuals confronting change in a world that refuses to stay still. Written in the tradition of romantic comedy, ""Battle for Bittora"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2010,1st Edition,English,590,3.6
48,Those Pricey Thakur Girls,Anuja Chauhan,9781224524947,Fiction/Stories,Romantic Comedy,Mysterious | Thrilling,romantic comedy;fiction;novel;leisure-reading;story;romance,"A memorable entry in romantic comedy, the story follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of romantic comedy, ""Those Pricey Thakur Girls"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",2013,Paperback Edition,English,324,3.5
49,The House That BJ Built,Anuja Chauhan,9781081011857,Fiction/Stories,Romantic Comedy,Thrilling | Magical | Heartwarming,romantic comedy;fiction;novel;leisure-reading;story;romance,"Told with a distinct narrative voice, this novel follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of romantic comedy, ""The House That BJ Built"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",2015,Popular Edition,English,225,3.4
50,Karma Cola,Gita Mehta,9781445512174,Fiction/Stories,Nonfiction Narrative,Inspirational | Calm,nonfiction narrative;fiction;novel;leisure-reading;story,"Spanning years and relationships, this nonfiction narrative traces lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of nonfiction narrative, ""Karma Cola"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",1979,Popular Edition,English,141,3.5
51,Serious Men,Manu Joseph,9780770549565,Fiction/Stories,Satire,Epic | Thrilling | Emotional,satire;fiction;novel;leisure-reading;story,"Spanning years and relationships, this satire traces lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of satire, ""Serious Men"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2010,1st Edition,English,188,3.9
52,The Illicit Happiness of Other People,Manu Joseph,9781673359817,Fiction/Stories,Literary Fiction,Relaxing,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a journey that tests conviction as much as courage. Written in the tradition of literary fiction, ""The Illicit Happiness of Other People"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2012,Reprint Edition,English,603,3.7
53,"English, August",Upamanyu Chatterjee,9789394869066,Fiction/Stories,Satire,Educational | Inspirational | Epic,satire;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this satire follows a journey that tests conviction as much as courage. Written in the tradition of satire, ""English, August"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1988,Popular Edition,English,342,4.8
54,The Mammaries of the Welfare State,Upamanyu Chatterjee,9781561920327,Fiction/Stories,Satire,Suspenseful | Fantasy | Mysterious,satire;fiction;novel;leisure-reading;story,"Spanning years and relationships, this satire traces individuals confronting change in a world that refuses to stay still. Written in the tradition of satire, ""The Mammaries of the Welfare State"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",2000,Reprint Edition,English,221,3.9
55,Blue Bedspread,Raj Kamal Jha,9781758255713,Fiction/Stories,Literary Fiction,Thought-provoking | Epic,literary fiction;fiction;novel;leisure-reading;story,"Spanning years and relationships, this literary fiction traces individuals confronting change in a world that refuses to stay still. Written in the tradition of literary fiction, ""Blue Bedspread"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1999,Popular Edition,English,518,4.5
56,Fireproof,Raj Kamal Jha,9789367496282,Fiction/Stories,Literary Fiction,Dark | Relaxing,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a journey that tests conviction as much as courage. Written in the tradition of literary fiction, ""Fireproof"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2006,Reprint Edition,English,404,4.1
57,Chinaman,Shehan Karunatilaka,9789318636644,Fiction/Stories,Literary Fiction,Hopeful | Magical | Dark,literary fiction;fiction;novel;leisure-reading;story,"This literary fiction follows a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of literary fiction, ""Chinaman"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",2011,Paperback Edition,English,389,3.4
58,The Legend of Bhagat Singh,Various,9780244601232,Fiction/Stories,Historical Fiction,Heartwarming | Fast-paced,historical fiction;fiction;novel;leisure-reading;story;history,"Set against a richly drawn backdrop, this historical fiction follows a central figure caught between duty and desire. Written in the tradition of historical fiction, ""The Legend of Bhagat Singh"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",2002,Popular Edition,English,617,4.2
59,The Immortals of Meluha,Amish Tripathi,9781037039508,Fiction/Stories,Mythological Fantasy,Epic | Heartwarming | Adventure,mythological fantasy;fiction;novel;leisure-reading;story;indian-mythology,"A memorable entry in mythological fantasy, the story follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of mythological fantasy, ""The Immortals of Meluha"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2010,Popular Edition,English,279,3.6
60,The Secret of the Nagas,Amish Tripathi,9781772640656,Fiction/Stories,Mythological Fantasy,Magical,mythological fantasy;fiction;novel;leisure-reading;story;indian-mythology,"A memorable entry in mythological fantasy, the story follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of mythological fantasy, ""The Secret of the Nagas"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2011,1st Edition,English,451,4.5
61,The Oath of the Vayuputras,Amish Tripathi,9781293540497,Fiction/Stories,Mythological Fantasy,Epic | Suspenseful,mythological fantasy;fiction;novel;leisure-reading;story;indian-mythology,"In prose that lingers, Amish Tripathi follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of mythological fantasy, ""The Oath of the Vayuputras"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2013,Reprint Edition,English,446,3.6
62,Sita: Warrior of Mithila,Amish Tripathi,9789382653394,Fiction/Stories,Mythological Fantasy,Funny | Mysterious,mythological fantasy;fiction;novel;leisure-reading;story;indian-mythology,"Set against a richly drawn backdrop, this mythological fantasy follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of mythological fantasy, ""Sita: Warrior of Mithila"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",2017,1st Edition,English,342,3.5
63,Raavan: Enemy of Aryavarta,Amish Tripathi,9789365202175,Fiction/Stories,Mythological Fantasy,Adventure,mythological fantasy;fiction;novel;leisure-reading;story;indian-mythology,"Spanning years and relationships, this mythological fantasy traces a journey that tests conviction as much as courage. Written in the tradition of mythological fantasy, ""Raavan: Enemy of Aryavarta"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2019,Special Edition,English,347,4.7
64,Ram: Scion of Ikshvaku,Amish Tripathi,9781040599396,Fiction/Stories,Mythological Fantasy,Historical | Hopeful | Fast-paced,mythological fantasy;fiction;novel;leisure-reading;story;indian-mythology,"Spanning years and relationships, this mythological fantasy traces a journey that tests conviction as much as courage. Written in the tradition of mythological fantasy, ""Ram: Scion of Ikshvaku"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2015,Special Edition,English,176,4.6
65,Legend of Suheldev,Amish Tripathi,9780847925148,Fiction/Stories,Historical Fiction,Magical,historical fiction;fiction;novel;leisure-reading;story;history,"Spanning years and relationships, this historical fiction traces characters whose choices ripple across family, community, and circumstance. Written in the tradition of historical fiction, ""Legend of Suheldev"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",2020,Special Edition,English,604,4.1
66,The Krishna Key,Ashwin Sanghi,9780579169933,Fiction/Stories,Mythological Thriller,Thrilling | Fast-paced | Dark,mythological thriller;fiction;novel;leisure-reading;story;indian-mythology;suspense,"Told with a distinct narrative voice, this novel follows a central figure caught between duty and desire. Written in the tradition of mythological thriller, ""The Krishna Key"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2012,Special Edition,English,396,3.8
